student_id,age,gender,grade_level,study_hours_per_day,uses_ai,ai_usage_time_minutes,ai_usage_purpose,ai_dependency_score,ai_generated_content_percentage,ai_prompts_per_week,ai_ethics_score,last_exam_score,assignment_scores_avg,attendance_percentage,concept_understanding_score,study_consistency_index,improvement_rate,sleep_hours,social_media_hours,tutoring_hours,class_participation_score,final_score,passed,performance_category,ChatGPT_usage,Claude_usage,Copilot_usage,Gemini_usage
1337,19,Female,3,4.1,1,50,Exam Prep,7,96,22,6,82,47.9,95.9,8,5.4,1.4,8.2,4.4,4.3,7,58.8,1,Medium,0,0,0,1
1338,15,Female,3,6.0,1,142,,10,75,101,2,45,46.4,55.9,9,7.0,-7.0,4.4,6.0,4.3,6,48.7,1,Low,0,0,1,0
1339,20,Female,11,4.1,1,127,Homework,9,24,91,9,79,76.5,70.6,2,9.1,-4.5,7.3,0.2,0.3,2,62.4,1,Medium,0,0,0,0
1340,21,Male,10,3.8,0,179,Coding,5,18,40,10,93,91.0,84.2,4,2.5,-13.5,6.9,0.2,4.0,5,78.8,1,High,1,0,0,1
1341,19,Female,10,2.8,0,16,Doubt Solving,8,58,74,3,80,49.7,44.3,6,2.5,33.7,7.2,4.2,1.4,7,59.0,1,Medium,0,0,0,1
1342,19,Male,2,2.2,0,111,Exam Prep,8,52,92,7,34,84.4,44.3,7,7.3,36.9,6.2,2.7,4.6,3,46.6,1,Low,0,1,0,0
1343,18,Male,2,5.5,1,76,Exam Prep,3,86,43,8,24,92.0,84.8,4,3.9,-5.4,7.5,1.1,2.5,2,43.4,1,Low,0,0,0,1
1344,21,Male,11,5.8,0,21,,5,38,49,9,51,44.8,95.2,4,3.0,38.7,7.3,3.1,0.8,5,40.9,1,Low,1,0,0,1
1345,14,Female,11,3.2,1,122,Notes,8,4,83,5,41,94.2,75.5,7,7.2,13.1,8.3,5.3,5.0,6,56.8,1,Medium,1,0,0,0
1346,23,Female,1,2.1,1,179,Notes,10,39,8,6,41,49.8,42.3,7,1.5,-5.5,8.6,3.1,1.0,6,47.1,1,Low,0,0,0,1
1347,17,Male,1,4.7,1,127,Coding,3,84,87,6,31,45.2,67.1,7,5.8,10.3,5.0,5.6,1.4,6,36.8,0,Low,0,0,0,1
1348,17,Female,12,1.2,1,89,Doubt Solving,3,57,46,5,83,55.2,83.2,5,6.8,-15.4,7.7,3.4,2.6,7,64.0,1,Medium,1,0,0,0
1349,16,Male,2,4.7,0,173,Notes,6,99,112,7,94,46.0,77.9,4,4.5,-11.6,6.7,1.1,0.1,9,61.5,1,Medium,1,0,0,1
1350,16,Male,3,5.0,0,131,,7,77,40,1,99,70.1,51.9,6,2.1,-6.6,5.5,5.0,4.1,7,77.5,1,High,0,1,0,0
1351,17,Other,12,1.2,1,6,Exam Prep,7,5,12,5,35,63.1,43.2,7,4.1,34.8,5.0,2.3,2.3,1,58.2,1,Medium,0,1,0,0
1352,24,Female,12,5.9,0,137,Coding,6,18,57,10,84,76.9,93.4,10,4.9,36.9,5.2,3.6,1.8,1,81.3,1,High,0,0,1,0
1353,14,Male,10,5.9,0,14,Notes,7,67,65,6,70,80.7,53.6,9,2.4,4.6,6.0,2.4,2.2,9,72.6,1,Medium,0,1,0,0
1354,24,Female,3,5.7,1,153,Notes,7,23,80,3,51,35.7,99.7,5,5.4,-5.5,6.4,2.5,4.8,3,43.3,1,Low,0,1,0,0
1355,24,Male,10,3.2,0,39,Homework,4,89,113,2,72,40.8,46.9,6,4.0,-0.6,5.6,1.0,2.5,8,50.6,1,Medium,0,0,0,1
1356,15,Male,1,1.9,1,101,Coding,8,18,57,4,22,85.3,46.9,5,9.1,-0.1,5.9,3.8,3.8,1,44.2,1,Low,0,0,1,0
1357,22,Female,12,3.7,0,143,Coding,8,58,90,3,32,34.6,80.1,5,1.6,13.2,8.6,1.9,0.1,4,38.6,0,Low,0,1,0,0
1358,23,Female,1,2.8,1,97,,2,60,101,6,77,76.1,56.2,3,7.0,-9.8,5.0,2.1,3.8,3,49.6,1,Low,0,0,0,1
1359,15,Male,3,1.6,1,119,Doubt Solving,10,31,65,6,64,76.4,98.5,1,7.5,14.6,4.2,1.2,0.5,7,50.1,1,Medium,0,0,1,0
1360,18,Female,3,2.8,0,17,Notes,5,44,32,4,43,81.6,54.2,2,6.5,2.2,7.7,2.1,4.0,3,51.9,1,Medium,0,0,0,1
1361,22,Female,2,4.2,1,1,Coding,2,34,68,4,70,45.3,77.4,7,5.7,17.5,5.7,4.9,4.6,5,50.9,1,Medium,1,0,0,0
1362,22,Male,11,0.9,1,119,,3,53,77,10,32,40.6,64.4,4,2.0,13.9,5.3,5.7,1.2,2,38.0,0,Low,1,0,0,1
1363,21,Female,10,2.3,1,145,Doubt Solving,3,1,26,10,43,61.5,45.4,10,6.5,7.6,8.7,2.6,1.4,3,53.7,1,Medium,1,0,0,1
1364,14,Female,2,0.6,1,53,Notes,5,96,49,10,24,33.0,82.5,3,6.1,-12.8,5.8,4.5,4.0,1,25.0,0,Low,1,0,0,1
1365,14,Female,2,4.6,1,165,Exam Prep,8,73,58,2,69,88.9,87.4,4,9.2,-10.6,6.1,5.5,3.9,3,61.0,1,Medium,0,1,0,0
1366,22,Female,10,4.0,1,96,Homework,3,44,99,7,95,82.3,89.6,8,8.8,0.8,7.0,1.5,4.0,8,86.2,1,High,1,0,0,1
1367,24,Female,10,0.8,0,72,Doubt Solving,7,32,90,9,68,91.9,69.4,7,1.2,24.4,6.0,0.8,4.0,3,76.8,1,High,1,0,0,1
1368,21,Male,3,5.8,1,142,Homework,5,22,77,9,37,34.9,98.6,8,9.9,0.1,8.1,1.5,1.7,1,43.0,1,Low,0,0,1,0
1369,23,Female,3,0.6,0,91,Exam Prep,10,97,78,10,52,94.5,88.0,1,6.1,-3.2,6.2,5.3,4.8,6,45.1,1,Low,0,0,1,0
1370,22,Female,12,3.7,0,7,Coding,10,35,26,2,77,83.0,66.4,1,9.2,27.6,5.9,1.8,4.5,1,59.6,1,Medium,0,0,0,0
1371,20,Male,1,4.8,0,173,Notes,10,93,58,9,50,37.9,46.0,4,2.3,32.3,6.9,3.2,0.6,3,36.3,0,Low,0,0,1,0
1372,16,Female,3,4.8,1,99,Coding,4,68,55,5,53,37.3,55.3,9,7.3,23.5,8.6,5.8,0.2,2,50.2,1,Medium,0,1,0,0
1373,16,Female,2,0.7,1,38,Homework,2,84,117,6,93,93.0,86.3,6,5.1,6.9,6.7,2.9,4.6,3,73.1,1,Medium,0,0,0,0
1374,15,Female,12,5.5,1,179,Coding,6,79,71,1,50,62.6,92.8,2,2.2,-7.3,5.6,2.2,1.1,10,46.5,1,Low,0,0,0,0
1375,18,Male,12,5.6,1,135,Coding,4,70,84,7,98,99.9,79.7,4,1.2,39.7,5.7,5.5,3.7,10,76.1,1,High,1,0,0,1
1376,16,Male,2,3.6,1,105,Doubt Solving,4,8,33,8,46,74.5,63.3,4,2.9,0.3,5.0,0.6,3.3,2,53.0,1,Medium,0,1,0,0
1377,19,Female,3,3.2,1,177,,5,87,48,5,78,78.2,61.4,9,1.2,6.0,7.1,4.2,3.6,1,66.8,1,Medium,0,1,0,0
1378,15,Male,2,0.7,0,49,Doubt Solving,9,48,91,6,46,62.8,61.5,5,6.4,11.3,4.1,2.6,3.1,5,54.9,1,Medium,0,1,0,0
1379,16,Female,11,3.6,0,82,Exam Prep,1,25,87,4,20,60.6,69.5,6,3.7,13.9,7.4,4.7,1.4,4,44.8,1,Low,0,1,0,0
1380,18,Male,3,2.8,1,26,Doubt Solving,5,95,16,3,95,86.1,83.5,3,9.6,-18.8,8.5,2.8,3.0,1,65.6,1,Medium,0,1,0,0
1381,24,Male,1,4.8,1,76,Doubt Solving,5,26,115,3,87,61.4,49.8,9,6.7,33.8,7.3,5.0,2.7,3,84.4,1,High,0,1,0,0
1382,24,Male,2,2.7,1,37,Doubt Solving,2,40,69,2,42,64.9,41.3,4,7.9,32.8,8.2,2.6,1.5,10,45.6,1,Low,0,0,0,0
1383,14,Male,3,4.3,1,20,Doubt Solving,3,82,37,10,71,57.4,44.6,9,4.9,-12.5,4.4,0.9,1.7,5,58.4,1,Medium,1,0,0,1
1384,14,Female,10,1.1,1,44,,4,71,82,6,76,43.7,80.0,4,3.4,30.9,7.7,2.4,3.2,7,52.1,1,Medium,0,0,1,0
1385,23,Male,11,1.2,0,150,Exam Prep,1,100,0,9,70,89.4,90.9,2,7.9,-10.6,7.8,0.8,4.2,1,63.5,1,Medium,0,0,0,0
1386,22,Male,1,1.3,0,29,Doubt Solving,10,5,37,3,82,45.4,64.4,6,5.2,-5.4,5.7,0.3,3.0,9,64.2,1,Medium,0,0,0,1
1387,20,Male,3,0.8,1,94,Doubt Solving,3,82,25,1,96,51.1,60.3,8,10.0,11.1,7.5,1.5,2.2,7,68.5,1,Medium,0,0,0,1
1388,14,Female,10,3.5,0,143,Homework,1,86,68,10,47,71.5,41.2,5,6.3,38.6,6.2,2.5,0.6,3,57.6,1,Medium,0,0,0,1
1389,21,Male,3,4.9,1,51,Doubt Solving,1,65,67,1,43,52.8,43.7,2,8.6,8.9,7.6,0.8,0.1,10,42.6,1,Low,1,0,0,0
1390,16,Female,10,3.9,1,105,Exam Prep,9,60,24,4,41,54.7,85.3,1,3.6,3.1,7.5,4.2,0.4,5,41.9,1,Low,0,0,1,0
1391,21,Female,1,3.7,1,40,,4,66,108,1,59,30.3,45.4,5,4.8,11.1,5.5,3.8,0.3,5,41.0,1,Low,1,0,0,1
1392,18,Female,11,4.2,1,80,Exam Prep,4,65,115,10,94,86.1,89.7,4,3.2,-6.0,4.1,4.8,0.8,7,75.3,1,High,0,1,0,0
1393,14,Female,10,2.4,1,23,Coding,4,76,112,2,27,64.6,86.9,10,8.0,35.9,7.9,1.5,4.5,2,55.4,1,Medium,0,0,0,1
1394,20,Female,12,2.5,1,147,Doubt Solving,9,95,57,4,31,43.7,89.2,9,7.8,36.1,5.5,2.3,0.8,4,35.4,0,Low,0,0,1,0
1395,18,Female,1,2.2,0,102,Notes,8,42,44,4,68,79.9,81.2,4,6.3,20.6,6.9,4.0,1.0,5,57.2,1,Medium,1,0,0,1
1396,19,Male,1,4.4,1,154,Coding,4,24,21,8,40,75.9,41.3,7,7.6,-10.7,7.1,2.4,3.1,3,54.0,1,Medium,0,0,0,1
1397,19,Male,2,1.4,1,1,Exam Prep,6,61,47,4,86,56.3,66.6,6,4.2,9.1,8.4,2.3,2.7,9,65.9,1,Medium,0,0,1,0
1398,21,Male,11,0.6,1,59,Coding,2,12,12,3,58,70.5,49.4,2,8.9,2.9,4.1,2.1,4.2,7,54.6,1,Medium,0,0,0,0
1399,22,Female,12,3.8,1,50,Notes,6,93,86,4,81,76.7,60.3,4,9.3,39.8,6.7,3.0,1.1,8,67.9,1,Medium,1,0,0,1
1400,15,Other,12,5.7,0,128,Homework,1,82,96,5,77,34.3,73.4,3,7.0,-16.9,7.2,2.4,2.4,10,39.1,0,Low,0,0,0,0
1401,22,Female,2,3.9,1,90,Notes,5,23,24,5,81,59.2,83.9,6,4.4,-4.5,7.1,3.3,0.5,2,72.9,1,Medium,0,0,1,0
1402,24,Male,10,4.8,0,100,,8,96,9,4,89,66.7,53.9,7,8.6,9.5,7.8,5.9,2.9,6,71.0,1,Medium,0,1,0,0
1403,23,Female,10,4.2,1,113,,1,58,17,10,55,80.6,60.1,5,9.8,29.5,4.3,2.9,3.0,2,54.3,1,Medium,0,0,1,0
1404,22,Male,12,3.2,1,5,Coding,2,76,54,2,64,56.7,52.6,6,6.2,23.7,5.1,4.7,4.2,5,59.2,1,Medium,0,0,1,0
1405,23,Male,11,4.5,1,165,Doubt Solving,3,94,26,3,98,42.0,99.1,4,6.9,37.4,7.2,4.0,1.7,6,48.9,1,Low,1,0,0,0
1406,23,Male,10,5.0,0,53,Homework,7,37,55,10,34,36.3,95.8,7,8.7,-7.4,5.7,3.3,1.5,4,41.1,1,Low,0,1,0,0
1407,20,Male,1,1.7,0,26,,8,7,55,10,81,86.7,79.2,4,7.1,-13.8,5.3,4.4,4.8,7,73.6,1,Medium,0,0,0,0
1408,14,Female,3,2.3,1,79,Notes,4,57,48,3,57,63.5,89.5,3,2.8,15.4,5.9,3.8,2.3,8,47.6,1,Low,0,0,1,0
1409,20,Male,2,1.7,1,62,Doubt Solving,8,29,25,5,83,46.1,83.1,9,4.8,6.0,8.3,0.4,1.4,7,71.0,1,Medium,0,1,0,0
1410,23,Male,11,3.0,1,98,Notes,1,18,112,2,90,86.3,90.9,3,6.5,-0.1,5.1,4.5,3.0,10,76.0,1,High,0,0,1,0
1411,18,Female,10,5.4,1,90,Exam Prep,3,95,105,2,28,86.8,96.2,7,5.2,26.5,8.0,5.4,0.7,9,43.9,1,Low,0,1,0,0
1412,19,Female,3,2.4,1,34,Doubt Solving,4,29,115,10,94,75.6,95.8,5,7.1,12.9,5.8,4.8,1.9,5,71.9,1,Medium,1,0,0,1
1413,23,Female,12,2.6,1,57,Exam Prep,5,54,1,2,99,38.4,74.5,3,3.5,-0.7,7.3,2.3,2.3,5,65.7,1,Medium,0,0,0,1
1414,20,Male,2,5.2,1,35,Homework,9,45,73,6,90,51.2,97.9,5,2.4,12.3,4.7,5.4,4.4,3,59.5,1,Medium,1,0,0,0
1415,18,Female,10,3.3,0,101,Homework,2,37,59,8,44,91.8,64.5,8,1.3,36.0,4.8,0.6,3.6,7,59.4,1,Medium,0,0,0,1
1416,20,Female,12,3.4,1,91,Homework,7,16,83,10,97,38.5,51.6,2,1.4,-4.3,4.7,2.3,2.0,8,64.5,1,Medium,0,0,1,0
1417,22,Male,10,5.2,1,55,Homework,3,97,37,6,84,79.0,53.9,5,4.2,7.1,8.2,0.0,2.3,10,70.6,1,Medium,0,0,1,0
1418,16,Female,2,3.2,0,66,Exam Prep,10,79,2,4,39,47.9,67.5,1,1.2,-2.7,7.5,2.2,4.7,3,36.9,0,Low,1,0,0,1
1419,21,Male,1,4.2,1,56,Exam Prep,2,58,73,8,47,32.4,55.2,7,3.4,14.5,8.4,0.2,4.2,6,52.0,1,Medium,0,0,1,0
1420,15,Male,1,1.0,1,168,,9,36,91,4,68,78.2,47.6,8,5.6,34.1,7.1,4.5,0.6,5,67.1,1,Medium,0,0,0,0
1421,24,Female,3,1.5,0,30,Coding,3,54,82,9,53,48.5,63.8,8,7.7,19.2,7.2,1.6,1.8,10,53.1,1,Medium,0,1,0,0
1422,20,Female,12,2.7,0,130,Coding,8,5,80,8,92,82.0,74.9,7,6.3,-8.3,6.6,3.3,2.3,5,76.2,1,High,0,0,0,0
1423,15,Male,1,3.2,1,165,Exam Prep,1,65,107,4,39,55.7,98.1,9,5.8,-12.2,4.3,3.6,1.0,7,47.5,1,Low,0,0,0,1
1424,17,Female,2,5.8,1,51,Homework,5,68,52,7,41,45.4,77.2,1,3.2,-17.9,4.2,1.9,0.6,4,39.5,0,Low,0,0,1,0
1425,20,Female,12,5.8,1,151,Coding,5,41,43,10,96,93.7,86.4,5,1.1,30.4,6.5,1.5,1.6,4,78.6,1,High,1,0,0,1
1426,16,Female,10,5.2,1,153,Doubt Solving,6,82,22,9,63,54.9,80.9,1,2.2,8.3,6.5,3.3,3.3,9,47.8,1,Low,1,0,0,0
1427,15,Male,11,2.2,0,104,Exam Prep,7,64,27,6,66,94.0,63.1,10,9.8,5.4,5.1,1.4,4.8,6,79.4,1,High,0,0,0,0
1428,24,Female,10,5.8,0,110,Doubt Solving,3,88,90,1,44,97.3,51.3,7,9.3,-4.2,6.9,0.9,4.9,10,57.3,1,Medium,0,0,0,1
1429,23,Male,2,4.3,0,91,Homework,5,79,31,6,41,58.5,56.9,2,3.8,5.8,8.5,4.5,4.4,5,39.7,0,Low,1,0,0,1
1430,20,Female,3,2.7,1,36,,8,93,101,8,80,80.3,92.6,2,3.9,1.1,7.9,1.9,3.6,7,51.9,1,Medium,1,0,0,1
1431,14,Male,12,4.4,1,116,Exam Prep,6,93,75,9,71,57.8,49.3,8,9.0,24.6,6.8,2.7,0.4,1,62.9,1,Medium,0,0,0,1
1432,21,Male,10,0.6,0,175,Coding,2,9,19,1,39,76.0,45.9,8,1.7,22.4,5.3,5.5,0.1,7,58.0,1,Medium,1,0,0,1
1433,16,Female,12,1.3,1,66,,7,39,5,5,99,84.0,91.2,1,2.5,6.8,5.2,0.8,0.1,8,61.4,1,Medium,1,0,0,0
1434,15,Male,1,5.1,1,168,Coding,3,51,2,5,39,74.7,72.9,9,2.1,19.2,8.2,0.4,0.5,9,58.3,1,Medium,1,0,0,0
1435,16,Male,11,4.1,0,48,Doubt Solving,10,23,2,8,64,50.3,81.0,10,8.8,15.4,5.8,2.6,2.3,2,76.5,1,High,0,0,1,0
1436,18,Male,2,2.5,1,27,Exam Prep,9,58,22,7,56,51.6,89.5,10,1.1,18.5,7.1,3.7,0.1,3,64.2,1,Medium,0,1,0,0
1437,24,Female,10,3.3,1,31,,4,20,72,5,34,90.3,60.4,10,1.1,25.6,8.4,2.8,1.8,4,62.1,1,Medium,0,0,1,0
1438,21,Male,11,5.5,0,98,Homework,4,51,32,6,95,69.5,85.0,10,8.3,-14.5,5.8,0.1,4.8,1,78.7,1,High,0,1,0,0
1439,23,Female,2,4.0,1,70,Notes,4,78,35,8,28,93.1,77.9,10,6.7,29.9,7.5,2.4,2.8,4,60.2,1,Medium,0,0,0,1
1440,20,Male,2,2.7,0,31,Notes,10,4,63,6,63,59.3,41.5,2,6.1,-3.0,8.0,2.9,3.0,2,54.8,1,Medium,1,0,0,1
1441,20,Male,3,1.2,0,165,,10,35,11,10,34,48.4,83.2,9,9.3,2.9,4.7,5.7,2.5,10,45.2,1,Low,0,0,1,0
1442,20,Male,1,2.1,0,147,Homework,8,21,61,5,63,72.6,60.7,3,5.4,-3.4,4.4,0.5,4.9,7,54.6,1,Medium,1,0,0,1
1443,21,Female,3,5.9,1,135,Coding,1,7,25,10,31,92.3,52.5,1,5.2,29.6,8.1,4.1,0.8,1,45.6,1,Low,0,0,1,0
1444,14,Male,3,2.9,1,67,Notes,3,94,36,1,46,65.1,97.7,3,4.8,32.2,8.5,2.4,4.9,7,36.5,0,Low,0,0,1,0
1445,17,Male,12,3.1,1,153,Homework,8,51,113,8,38,49.4,86.2,10,6.9,-11.6,6.0,5.2,2.3,9,54.3,1,Medium,1,0,0,0
1446,19,Other,12,3.2,1,69,,7,0,47,8,44,45.5,41.5,10,3.9,11.3,6.4,4.0,4.6,9,57.9,1,Medium,0,1,0,0
1447,22,Female,11,5.4,1,47,,6,83,73,6,93,61.4,85.6,9,7.0,2.9,7.7,2.4,3.2,2,71.6,1,Medium,0,0,0,1
1448,15,Male,1,3.8,1,95,,7,27,43,7,83,89.8,91.0,2,7.3,-9.1,5.0,3.8,1.0,10,65.0,1,Medium,1,0,0,1
1449,14,Male,2,4.3,1,107,Doubt Solving,1,30,10,7,31,50.0,61.4,3,2.9,13.4,4.1,2.7,4.0,4,32.2,0,Low,0,0,1,0
1450,23,Female,1,2.6,1,45,Coding,8,52,82,2,69,68.8,59.6,9,6.4,1.9,8.3,4.3,0.7,4,70.0,1,Medium,1,0,0,1
1451,15,Male,1,0.7,0,66,Homework,4,23,68,6,91,42.1,65.4,6,7.5,22.9,7.3,4.7,4.1,4,60.6,1,Medium,1,0,0,0
1452,20,Male,11,5.6,1,28,,1,44,23,7,30,82.0,68.0,2,9.7,30.2,7.4,4.2,0.2,4,45.9,1,Low,0,0,0,1
1453,16,Female,12,5.7,1,82,Doubt Solving,4,6,98,8,42,62.1,62.8,5,9.5,-19.2,6.9,2.2,0.7,7,55.0,1,Medium,0,1,0,0
1454,23,Female,1,5.7,1,137,Exam Prep,2,1,91,2,34,46.7,70.4,1,2.8,12.9,6.8,0.2,1.8,8,36.2,0,Low,0,1,0,0
1455,15,Female,1,5.7,0,70,Notes,5,72,93,10,82,82.8,98.4,10,6.2,14.9,8.9,0.8,0.3,8,77.2,1,High,0,0,1,0
1456,24,Male,1,5.0,1,64,Notes,1,62,18,8,39,81.0,41.9,5,5.2,-0.9,7.2,2.8,4.1,8,50.4,1,Medium,0,0,0,1
1457,20,Male,10,4.3,1,144,Notes,1,82,69,2,97,32.3,99.0,9,4.1,28.2,4.7,3.5,2.3,10,63.5,1,Medium,0,1,0,0
1458,15,Female,1,5.1,1,21,Homework,5,40,55,9,29,60.9,91.0,1,4.1,34.6,5.3,0.6,3.1,3,36.1,0,Low,0,0,0,1
1459,16,Male,1,3.8,0,99,Exam Prep,2,88,48,2,80,71.5,87.8,10,9.7,25.9,5.4,2.8,0.5,4,71.2,1,Medium,1,0,0,1
1460,24,Female,2,1.2,0,13,Homework,9,22,118,3,66,47.9,67.0,4,1.3,11.6,5.0,1.7,0.0,2,59.4,1,Medium,1,0,0,0
1461,20,Female,3,2.7,1,5,,10,49,108,8,68,33.9,44.5,9,8.7,-19.3,8.3,0.4,4.9,7,51.2,1,Medium,0,0,0,1
1462,17,Male,10,5.8,1,157,Homework,7,73,102,6,68,49.9,77.1,2,5.1,5.3,6.6,2.1,0.7,2,45.3,1,Low,0,0,0,1
1463,14,Female,1,2.4,1,46,Exam Prep,4,86,82,9,95,90.7,93.7,8,6.1,21.6,6.4,3.8,4.2,8,78.8,1,High,0,1,0,0
1464,18,Female,3,5.3,1,147,,7,32,114,8,52,53.8,65.5,5,7.7,-10.4,8.9,4.7,3.2,2,51.4,1,Medium,0,0,0,0
1465,22,Female,1,1.0,0,143,,8,42,56,10,97,85.1,44.2,9,5.1,26.5,4.2,4.6,4.0,9,81.5,1,High,0,0,1,0
1466,21,Male,11,2.3,1,33,Doubt Solving,8,82,94,6,42,79.2,40.3,1,9.9,16.8,6.2,3.1,3.0,10,46.6,1,Low,0,0,1,0
1467,22,Male,11,2.4,1,0,,8,54,107,3,72,97.1,47.2,7,8.8,-0.1,5.1,0.6,1.9,4,75.3,1,High,0,0,0,0
1468,23,Female,3,0.8,1,175,Coding,5,50,10,3,56,91.0,76.4,4,2.9,30.9,6.1,3.6,2.6,5,62.1,1,Medium,0,0,0,0
1469,22,Male,10,1.2,1,7,Notes,7,97,62,2,41,95.9,99.5,10,7.0,18.6,4.8,0.3,2.7,7,56.8,1,Medium,0,0,0,0
1470,20,Other,2,1.6,1,21,Exam Prep,7,36,80,8,21,31.6,82.7,4,5.3,-1.8,4.7,2.6,0.9,5,25.7,0,Low,1,0,0,1
1471,17,Male,10,5.1,1,67,Doubt Solving,2,62,16,10,39,50.8,49.4,3,4.2,-8.2,5.3,4.0,3.2,3,42.8,1,Low,0,1,0,0
1472,18,Female,10,0.8,1,33,,3,66,113,5,24,91.1,91.8,8,4.2,-10.6,4.6,0.7,0.9,8,49.2,1,Low,0,1,0,0
1473,14,Male,11,2.1,1,172,Exam Prep,2,44,14,9,22,56.1,79.6,7,2.5,39.2,8.7,3.7,2.7,10,38.0,0,Low,1,0,0,0
1474,14,Female,11,0.6,1,36,Coding,3,70,69,5,96,33.7,58.1,2,5.1,32.1,4.6,4.0,3.4,1,57.1,1,Medium,0,0,1,0
1475,16,Male,2,4.3,0,120,Exam Prep,9,48,61,5,96,95.0,70.1,2,6.4,21.3,6.3,5.3,4.1,10,68.0,1,Medium,0,1,0,0
1476,21,Male,1,3.9,1,22,Exam Prep,7,0,31,8,31,61.6,64.2,10,8.2,8.2,7.9,1.3,2.7,10,48.1,1,Low,0,0,0,0
1477,15,Male,2,4.0,1,83,Doubt Solving,4,53,39,8,51,33.6,92.3,8,3.6,30.9,8.2,4.9,3.1,9,45.4,1,Low,1,0,0,1
1478,17,Female,1,2.6,1,116,Notes,8,35,10,2,77,49.9,97.2,5,8.0,22.2,8.8,2.1,3.6,8,68.9,1,Medium,1,0,0,0
1479,15,Male,3,1.6,1,23,Notes,7,64,12,8,90,89.9,47.4,5,6.0,13.4,6.8,2.3,1.8,8,68.4,1,Medium,0,0,1,0
1480,18,Female,3,4.5,1,140,Doubt Solving,10,40,80,7,89,85.3,48.8,5,3.3,26.8,5.6,5.8,0.2,10,67.4,1,Medium,0,0,1,0
1481,22,Female,12,5.0,1,68,Doubt Solving,6,93,27,6,59,99.8,44.9,9,8.1,-12.8,7.2,3.0,1.5,5,79.9,1,High,0,0,1,0
1482,14,Male,11,1.3,0,79,Homework,4,49,112,3,25,60.8,62.8,7,6.4,32.5,7.0,5.2,0.6,10,46.6,1,Low,1,0,0,0
1483,18,Female,12,3.2,1,59,Homework,5,95,81,5,82,51.2,98.3,5,9.6,-12.3,7.0,4.2,3.8,5,60.1,1,Medium,1,0,0,1
1484,22,Male,12,1.9,0,37,Coding,10,48,27,2,44,39.3,99.2,8,3.6,34.3,5.8,2.5,4.1,4,39.5,0,Low,1,0,0,1
1485,14,Other,11,1.4,1,175,Homework,8,82,47,9,88,50.9,75.8,9,9.8,-6.8,8.4,0.3,4.8,1,61.7,1,Medium,0,1,0,0
1486,22,Female,12,4.5,1,153,Homework,3,46,54,5,92,44.0,67.8,3,6.0,3.3,6.8,3.0,3.0,8,59.5,1,Medium,0,1,0,0
1487,21,Male,10,3.5,0,76,Exam Prep,3,9,15,8,69,76.8,58.1,1,5.1,25.6,7.0,2.2,2.4,8,50.3,1,Medium,0,0,1,0
1488,17,Male,1,1.7,1,84,Exam Prep,5,43,35,5,59,83.6,40.0,3,8.9,-13.2,6.2,3.1,4.7,4,61.6,1,Medium,0,0,0,0
1489,24,Male,2,2.2,1,128,Doubt Solving,9,43,112,10,20,86.3,55.8,9,2.4,38.5,5.2,4.4,4.6,3,49.1,1,Low,0,0,0,1
1490,23,Other,11,5.8,1,3,,5,96,39,9,65,82.7,48.8,9,5.2,24.9,5.1,3.2,3.2,8,72.6,1,Medium,0,1,0,0
1491,18,Male,10,5.2,0,113,Notes,1,3,19,1,92,64.3,40.1,3,2.1,-4.4,7.2,4.0,3.9,10,65.0,1,Medium,1,0,0,1
1492,18,Female,3,5.3,1,79,Coding,5,63,102,6,58,57.5,93.8,2,6.5,33.3,4.1,4.2,1.0,10,43.5,1,Low,0,0,1,0
1493,24,Male,2,3.0,1,108,Homework,9,19,90,8,29,37.0,45.1,2,1.4,-17.5,8.7,4.7,2.6,7,23.3,0,Low,1,0,0,1
1494,19,Female,2,3.9,0,140,Exam Prep,7,53,103,7,68,70.5,82.5,9,9.8,-19.3,6.2,3.9,1.7,9,80.0,1,High,0,0,1,0
1495,20,Male,2,2.6,1,166,Notes,9,78,96,2,33,61.7,95.5,3,1.1,-0.6,8.3,5.3,4.1,3,34.7,0,Low,1,0,0,0
1496,21,Female,12,0.9,0,30,Homework,10,40,1,2,65,47.0,47.6,9,9.4,-13.9,6.2,1.8,4.5,4,65.3,1,Medium,0,1,0,0
1497,21,Female,12,2.7,0,151,,10,29,76,10,59,86.2,54.4,4,6.8,29.2,4.6,5.0,2.0,9,55.1,1,Medium,0,0,0,0
1498,24,Female,12,3.8,1,127,Notes,5,70,1,1,38,79.8,54.1,2,8.4,3.1,4.5,3.8,2.4,1,52.1,1,Medium,1,0,0,0
1499,15,Male,12,2.1,0,78,Exam Prep,3,40,100,1,36,69.8,45.2,9,4.2,17.2,4.0,3.7,1.2,4,60.6,1,Medium,0,1,0,0
1500,22,Male,10,5.2,1,4,Doubt Solving,2,81,68,3,65,44.0,94.6,3,3.2,29.4,5.4,1.1,4.4,1,45.9,1,Low,0,0,0,0
1501,20,Male,12,1.3,1,126,,9,93,69,3,92,69.9,90.9,2,2.6,-10.8,6.2,5.1,0.7,10,58.8,1,Medium,0,0,0,0
1502,17,Female,11,2.5,1,176,,5,7,49,8,84,44.3,62.8,1,5.8,38.4,4.1,3.6,4.6,4,57.4,1,Medium,0,0,0,0
1503,17,Male,2,1.2,0,85,Homework,1,84,95,9,89,81.3,86.2,7,3.4,19.1,6.3,1.1,3.1,6,71.4,1,Medium,1,0,0,1
